importacion_id;proveedor;pais_origen;fecha_orden;fecha_llegada;trm;costo_mercancia_usd;flete_usd;arancel_cop;otros_costos_cop;centro_logistico
1;Proveedor MÉX 2;México;13/03/2024;20/04/2024;4204,15;112897,47;13098,33;37018618;14413248;Cali
2;Proveedor EST 3;Estados Unidos;11/02/2024;22/04/2024;4411,69;92066,03;10235,17;37351099;5220502;Barranquilla
3;Proveedor MÉX 7;México;11/07/2022;20/09/2022;3991,57;118519,99;6096,59;29145216;2598034;Cali
4;Proveedor MÉX 5;México;12/01/2024;12/02/2024;3644,8;131209,88;15793,18;46588282;3271844;Barranquilla
5;Proveedor CHI 4;China;15/03/2023;5/05/2023;4140,78;81551,33;5490,05;31534873;7180561;Barranquilla
6;Proveedor CHI 5;China;9/10/2022;17/11/2022;4277,44;102562,17;5592,76;38369564;10136178;Bogotá
7;Proveedor CHI 10;China;19/03/2022;30/05/2022;4153,45;131343,68;15218,71;36165022;2917393;Barranquilla
8;Proveedor CHI 3;China;11/02/2024;21/03/2024;4306,66;23446,47;2545,76;14542865;9481164;Bogotá
9;Proveedor MÉX 1;México;6/12/2022;20/02/2023;4026,99;103627,47;9930,13;43634298;14239042;Barranquilla
10;Proveedor EST 4;Estados Unidos;17/01/2024;30/03/2024;4024,71;144954,77;20371,23;40592518;2901696;Cali
11;Proveedor EST 8;Estados Unidos;7/08/2023;24/10/2023;3710,86;22368,84;1329,7;9819859;2925452;Cali
12;Proveedor CHI 4;China;5/05/2023;23/06/2023;3950,87;129833,79;6793,84;67426505;5664112;Barranquilla
13;Proveedor EST 7;Estados Unidos;21/06/2024;19/08/2024;3729,98;110575,83;12483,38;56813231;11555923;Barranquilla
14;Proveedor MÉX 10;México;7/05/2024;16/06/2024;4483,83;56664,49;3838,68;31774861;12488851;Bogotá
15;Proveedor CHI 8;China;28/05/2023;30/06/2023;4689,56;73640,3;6421,57;44079722;6430446;Cali
16;Proveedor EST 2;Estados Unidos;30/07/2022;13/10/2022;4623,83;131593,66;12224,97;76111340;11809057;Cali
17;Proveedor EST 5;Estados Unidos;21/06/2022;7/09/2022;3713,44;137331,88;13805,32;67645841;6160644;Bogotá
18;Proveedor EST 4;Estados Unidos;29/10/2022;25/12/2022;4585,08;70596,22;3606,32;45490713;3186726;Bogotá
19;Proveedor EST 1;Estados Unidos;17/12/2023;17/01/2024;3951,25;143508,06;20817,38;60867816;10213883;Barranquilla
20;Proveedor EST 7;Estados Unidos;25/10/2024;17/12/2024;4093,29;58117,4;4815,98;27893202;11780868;Bogotá
21;Proveedor CHI 6;China;7/02/2024;22/03/2024;4470,74;122650,36;7251,16;54527831;2748263;Bogotá
22;Proveedor CHI 3;China;18/11/2023;6/02/2024;4204,48;77398,97;10740,69;27690682;3521871;Bogotá
23;Proveedor CHI 3;China;11/08/2023;10/10/2023;3757,29;118996,38;13306,39;26876429;3093388;Cali
24;Proveedor MÉX 1;México;18/08/2024;15/10/2024;4371,07;29459,19;3894,09;15532561;3057534;Cali
25;Proveedor CHI 3;China;8/02/2022;26/03/2022;3693,32;148263,15;12962,21;47674906;12566394;Bogotá
26;Proveedor MÉX 4;México;16/05/2024;22/06/2024;4641,97;148180,14;18572,58;60273319;3085509;Barranquilla
27;Proveedor EST 7;Estados Unidos;7/09/2022;10/10/2022;4454,86;92592,55;8557,61;58010268;3445567;Bogotá
28;Proveedor MÉX 8;México;25/07/2024;28/08/2024;4141,89;21475,97;2080,29;4948379;3544632;Bogotá
29;Proveedor MÉX 10;México;3/02/2022;14/04/2022;3729,28;104397,34;13008,38;42178461;14508243;Cali
30;Proveedor CHI 1;China;22/10/2022;9/12/2022;4012,36;57142,57;7820,53;16590356;14521893;Barranquilla
31;Proveedor MÉX 7;México;24/12/2023;7/02/2024;3613,37;146084,25;7934,71;73432386;8860114;Cali
32;Proveedor CHI 2;China;25/06/2022;27/08/2022;4692,26;29593,55;3118,73;20402827;8800271;Barranquilla
33;Proveedor MÉX 1;México;11/02/2022;6/04/2022;4292,34;110447,33;10542,65;53454990;9596086;Barranquilla
34;Proveedor MÉX 1;México;3/03/2024;25/04/2024;4591,27;25908,03;2023,32;17252754;13573429;Barranquilla
35;Proveedor EST 2;Estados Unidos;19/05/2022;10/07/2022;4101,22;100617,24;7821,79;28395556;8028079;Bogotá
36;Proveedor MÉX 6;México;12/11/2023;20/12/2023;3988,69;95875,29;5539,05;56383335;14820739;Bogotá
37;Proveedor MÉX 8;México;25/11/2023;4/02/2024;4367,98;89692,53;7260,86;51471227;10901505;Bogotá
38;Proveedor MÉX 3;México;7/09/2024;16/11/2024;3778,88;138420,53;18306,63;75835346;11434353;Bogotá
39;Proveedor CHI 4;China;26/07/2024;27/08/2024;4274,76;74371,59;10655,43;43429998;2587842;Barranquilla
40;Proveedor CHI 5;China;13/02/2023;17/03/2023;3629;68940,24;9034,99;37209288;3955419;Barranquilla
41;Proveedor MÉX 5;México;26/03/2024;29/05/2024;4253,54;69515,81;10218,23;39684883;12898273;Barranquilla
42;Proveedor CHI 1;China;27/01/2023;16/03/2023;4115,56;73926,54;5717,53;16927675;13241390;Barranquilla
43;Proveedor MÉX 6;México;11/11/2023;28/12/2023;4494,19;149963,3;22444,06;71132251;11996836;Bogotá
44;Proveedor EST 7;Estados Unidos;30/03/2024;15/06/2024;4639,24;130454,16;9749,47;57527706;3679072;Barranquilla
45;Proveedor EST 8;Estados Unidos;18/01/2023;20/03/2023;4649,46;98802,7;7199,19;53825492;10035667;Cali
46;Proveedor EST 7;Estados Unidos;1/07/2023;5/08/2023;3993,98;34762,49;4072,68;14166022;12040139;Cali
47;Proveedor CHI 9;China;31/05/2024;7/08/2024;4172,18;130783,6;13757,22;57890369;13396496;Bogotá
48;Proveedor EST 6;Estados Unidos;20/10/2023;25/11/2023;4043,83;37421,98;1978,81;18993756;10064024;Bogotá
49;Proveedor MÉX 10;México;29/08/2023;17/10/2023;4374,49;47685,34;3034,56;10733352;6557638;Barranquilla
50;Proveedor MÉX 8;México;22/05/2024;1/07/2024;4248,91;70991,73;6655,3;42354687;6527321;Cali
51;Proveedor EST 6;Estados Unidos;4/07/2024;5/08/2024;4165,39;121874,89;10926,61;56963454;13210728;Cali
52;Proveedor MÉX 1;México;9/06/2024;26/07/2024;4644,47;39119,55;5580,75;18025718;5357177;Cali
53;Proveedor CHI 3;China;11/04/2024;3/06/2024;4105,05;147404,23;14631,61;50147903;10234211;Cali
54;Proveedor CHI 8;China;20/10/2022;27/12/2022;3864,16;29862,23;1877,98;7247173;3974735;Cali
55;Proveedor CHI 6;China;16/09/2022;20/10/2022;3752,71;103313,72;7044,76;32787064;13658249;Bogotá
56;Proveedor EST 10;Estados Unidos;24/02/2024;30/04/2024;4121,36;106782,51;7179,2;30466889;2531292;Bogotá
57;Proveedor CHI 8;China;10/07/2024;1/09/2024;3785,83;56216,74;3805,93;12529180;3568266;Barranquilla
58;Proveedor CHI 7;China;9/10/2022;11/12/2022;4106,86;46823,38;4046,8;19295419;10975132;Barranquilla
59;Proveedor EST 1;Estados Unidos;25/07/2023;8/09/2023;3643,24;123923,35;13977,32;26265402;13356522;Bogotá
60;Proveedor MÉX 7;México;17/01/2023;19/03/2023;4612,96;27940,13;2170,61;16835197;11727375;Cali
61;Proveedor MÉX 8;México;30/08/2022;15/10/2022;3802,97;47215,41;4109,97;17677975;10037312;Barranquilla
62;Proveedor CHI 4;China;8/08/2023;21/10/2023;4005,81;80129,51;9995,92;17226650;5281680;Barranquilla
63;Proveedor CHI 3;China;5/10/2022;8/11/2022;4384,68;136376,89;13796,94;61717189;3393236;Barranquilla
64;Proveedor MÉX 6;México;30/06/2024;4/08/2024;4092,15;89240,24;6625,82;28091566;6904694;Cali
65;Proveedor MÉX 9;México;13/12/2023;26/02/2024;3622,08;61870,29;4401,75;18544144;3556907;Bogotá
66;Proveedor MÉX 3;México;18/08/2023;6/10/2023;4579,58;97167,02;11456,99;57366075;8479748;Bogotá
67;Proveedor EST 3;Estados Unidos;5/04/2023;12/05/2023;3695,61;89823,85;9762,43;41342851;7611574;Bogotá
68;Proveedor CHI 9;China;8/10/2024;8/11/2024;3740,34;56890,87;4910,15;24384110;9420117;Barranquilla
69;Proveedor MÉX 3;México;26/01/2024;25/03/2024;3991,71;148246,98;16392,78;43626055;3323172;Cali
70;Proveedor MÉX 7;México;26/06/2022;30/07/2022;3768,15;51974,5;3433,86;13446258;5706237;Barranquilla
71;Proveedor MÉX 7;México;7/09/2024;9/11/2024;3790,71;136579,51;7924,8;53042367;7335158;Barranquilla
72;Proveedor MÉX 2;México;1/06/2022;9/07/2022;4680,62;34565,06;3103,44;23773961;13251592;Barranquilla
73;Proveedor EST 6;Estados Unidos;12/08/2024;24/10/2024;4498,78;53527,37;3591,08;28141847;14081887;Cali
74;Proveedor CHI 7;China;8/01/2023;28/03/2023;4212,44;94309,65;7355,96;50433620;4431568;Bogotá
75;Proveedor MÉX 3;México;24/04/2022;31/05/2022;3956,05;75306,74;7587,99;22117665;3492878;Cali
76;Proveedor EST 4;Estados Unidos;4/12/2022;13/01/2023;4271,68;57521,97;6219,5;16078702;8254821;Barranquilla
77;Proveedor EST 4;Estados Unidos;5/08/2023;9/09/2023;4185,85;26737,06;2236,83;7100199;2823874;Barranquilla
78;Proveedor MÉX 5;México;17/07/2023;24/08/2023;4688,96;61906;8108,91;21905313;10859535;Cali
79;Proveedor MÉX 3;México;11/07/2022;11/09/2022;4436,25;97433,04;9466,36;39413167;6535287;Cali
80;Proveedor MÉX 10;México;12/11/2022;22/12/2022;4622,48;127980,52;18749,49;36932636;11501277;Cali
81;Proveedor MÉX 1;México;23/11/2023;28/01/2024;4632,17;43560,3;2467,67;25043172;9468150;Bogotá
82;Proveedor CHI 5;China;4/04/2022;14/06/2022;4526,01;38170,41;4944,09;12121289;4127527;Cali
83;Proveedor MÉX 7;México;8/03/2023;26/05/2023;3780,69;125894,71;14669,22;48694729;6664796;Cali
84;Proveedor MÉX 9;México;4/03/2022;4/05/2022;4564,92;71017,86;9350,21;30445894;6900277;Cali
85;Proveedor EST 7;Estados Unidos;11/09/2023;10/11/2023;4108,95;59179,12;7383,24;24382554;5018765;Bogotá
86;Proveedor EST 1;Estados Unidos;17/07/2024;20/08/2024;4589,53;69905,86;7295,05;45124553;10115093;Cali
87;Proveedor CHI 8;China;19/06/2024;14/08/2024;3728,59;142178,18;16033,55;44260362;3810536;Barranquilla
88;Proveedor CHI 6;China;28/11/2023;4/02/2024;4473,43;100609,46;10397,6;62734836;12251763;Bogotá
89;Proveedor MÉX 7;México;16/10/2023;31/12/2023;3766,84;60523,87;4530,15;28359952;2435921;Barranquilla
90;Proveedor CHI 2;China;29/01/2024;31/03/2024;4226,88;119119,63;16399,98;42399185;12676344;Cali
91;Proveedor EST 5;Estados Unidos;11/05/2023;9/07/2023;3721,69;130038,8;8159,79;43425483;12364839;Bogotá
92;Proveedor EST 1;Estados Unidos;23/05/2023;1/07/2023;3764,91;49802,68;6087,15;22876003;10334919;Bogotá
93;Proveedor EST 4;Estados Unidos;26/02/2024;5/05/2024;4363,34;90554,18;6807,85;33415028;4360770;Barranquilla
94;Proveedor CHI 6;China;2/11/2023;7/01/2024;4599,3;95840,93;8633,84;42405330;14314683;Cali
95;Proveedor CHI 8;China;23/11/2022;23/01/2023;3768,69;96209,88;9677,64;40299687;2235432;Cali
96;Proveedor EST 2;Estados Unidos;24/09/2023;24/11/2023;4559,34;141175,38;15037,06;77024411;13992491;Bogotá
97;Proveedor EST 4;Estados Unidos;1/11/2024;30/12/2024;4377,96;39830,08;4286,87;19298287;7513698;Bogotá
98;Proveedor MÉX 5;México;24/12/2023;26/01/2024;4410,09;141467,71;20167,19;59321473;3472094;Bogotá
99;Proveedor EST 1;Estados Unidos;21/08/2024;8/10/2024;4683,33;129056,75;8061,69;85877864;13308652;Cali
100;Proveedor CHI 6;China;1/06/2024;9/07/2024;4170,72;96865,81;8708,26;22412379;6357564;Barranquilla
101;Proveedor EST 1;Estados Unidos;20/01/2024;21/02/2024;4483,14;20602,16;1717,19;8295698;8986142;Barranquilla
102;Proveedor MÉX 5;México;3/02/2023;28/03/2023;4611,84;65024,98;5507,31;37110781;7878833;Cali
103;Proveedor CHI 9;China;2/03/2024;3/05/2024;3847,07;78817,14;5051,05;20509071;8478781;Barranquilla
104;Proveedor EST 7;Estados Unidos;1/09/2022;9/10/2022;4060,82;138929,97;11981,24;60963509;10219435;Bogotá
105;Proveedor EST 3;Estados Unidos;26/11/2023;30/01/2024;3614,4;106259,86;7204,8;56114690;3932615;Barranquilla
106;Proveedor CHI 1;China;2/04/2024;3/06/2024;4056,09;31095,46;4654,6;12640283;9740005;Bogotá
107;Proveedor CHI 8;China;8/10/2022;22/12/2022;3673,78;117494,86;8341,03;60347050;4666815;Barranquilla
108;Proveedor MÉX 9;México;24/07/2024;1/09/2024;3809,76;24751,46;2406,01;10041145;2854212;Cali
109;Proveedor CHI 3;China;3/11/2023;11/01/2024;4453,08;78927,55;8085,26;33065053;7209919;Barranquilla
110;Proveedor EST 9;Estados Unidos;5/09/2023;11/11/2023;4215,6;40181,23;2740,07;23067013;14299501;Barranquilla
111;Proveedor MÉX 5;México;30/09/2024;14/12/2024;4010,64;55196,81;6314,51;20117060;2330022;Cali
112;Proveedor EST 2;Estados Unidos;4/02/2022;29/03/2022;3771,77;113076,39;13104,69;22480545;4885638;Barranquilla
113;Proveedor EST 1;Estados Unidos;23/09/2023;12/12/2023;3854,18;107346,06;5578,89;24993847;12398909;Cali
114;Proveedor MÉX 10;México;29/08/2024;14/10/2024;3796,4;104856,99;7740,36;23862507;5161238;Cali
115;Proveedor MÉX 10;México;12/04/2023;27/06/2023;4394,49;131240,54;17457,88;51743735;10685106;Bogotá
116;Proveedor EST 10;Estados Unidos;16/12/2022;17/02/2023;3825,48;58109,2;8114;11403806;3111610;Cali
117;Proveedor EST 1;Estados Unidos;30/10/2022;11/01/2023;3828,67;23449,19;1597,91;9723461;7478519;Bogotá
118;Proveedor MÉX 8;México;14/08/2022;25/09/2022;4581,94;126267,66;10629,43;43936506;6936001;Bogotá
119;Proveedor EST 4;Estados Unidos;7/05/2024;15/06/2024;4249,32;54848,27;6165,76;21195461;9176613;Barranquilla
120;Proveedor EST 8;Estados Unidos;24/10/2024;11/01/2025;4079,74;58280,55;8441,67;30044690;3821471;Cali
121;Proveedor MÉX 9;México;8/05/2022;22/07/2022;4555,31;83366,06;11625,83;49363075;7527775;Bogotá
122;Proveedor CHI 9;China;28/10/2023;8/01/2024;3624,72;54928,06;5721,49;22567419;5352539;Barranquilla
123;Proveedor EST 9;Estados Unidos;5/10/2023;15/11/2023;3753,29;128540,93;19080,64;49484565;4231830;Barranquilla
124;Proveedor EST 5;Estados Unidos;27/12/2023;9/03/2024;3899,54;22390,79;3166,73;5393818;9494714;Cali
125;Proveedor MÉX 5;México;18/09/2024;30/10/2024;3901,46;92043,14;10598,03;47751377;4683476;Bogotá
126;Proveedor MÉX 5;México;4/09/2023;18/10/2023;3612,1;37795,13;5291,39;18756318;9766370;Barranquilla
127;Proveedor MÉX 8;México;1/03/2023;14/05/2023;4260,57;106454,77;7189,65;64151785;7444016;Cali
128;Proveedor EST 5;Estados Unidos;9/09/2024;31/10/2024;4021,45;87459,3;4783,73;23434065;11594437;Cali
129;Proveedor EST 9;Estados Unidos;7/09/2022;12/11/2022;3691,08;98409,77;7334,96;32302625;5753018;Cali
130;Proveedor EST 5;Estados Unidos;19/03/2024;10/05/2024;3991,24;113475,97;9045,42;48298514;8188655;Bogotá
131;Proveedor CHI 6;China;13/08/2023;27/10/2023;4330,04;141787,87;17476,38;43893560;2405380;Bogotá
132;Proveedor EST 4;Estados Unidos;10/06/2023;26/08/2023;3888,49;97360,13;5368,69;37720821;9758957;Barranquilla
133;Proveedor CHI 5;China;10/07/2023;13/09/2023;3967,67;120218,59;7292,44;27433364;11466453;Cali
134;Proveedor CHI 10;China;12/08/2022;20/10/2022;4145,04;109492,31;10235,64;33875456;12648330;Cali
135;Proveedor CHI 9;China;12/05/2023;14/06/2023;4479,36;110310,54;8517,57;53870545;6692660;Cali
136;Proveedor CHI 7;China;22/04/2023;25/05/2023;3700,74;139250,76;8867,75;74735205;7798075;Bogotá
137;Proveedor EST 3;Estados Unidos;25/08/2024;30/09/2024;3803,65;90447,12;12417,9;42392132;12485294;Cali
138;Proveedor CHI 8;China;20/11/2022;15/01/2023;4324,66;109995,95;14840,61;35661338;8362524;Cali
139;Proveedor EST 6;Estados Unidos;13/02/2023;2/05/2023;3843,33;148396,84;21429,38;30765562;11172477;Barranquilla
140;Proveedor EST 10;Estados Unidos;2/05/2022;20/07/2022;4617,77;43474,79;4642,87;28416859;2441297;Bogotá
